GeneID,SRR7885663
TRNAP-AGG,0.0
TRNAP-CGG,0.0
STYXL2,0.034673
GPA33,1.15837
CD247,2.316747
LOC103787107,0.029572
POU2F1,17.559334
TADA1,72.581032
MAEL,2.907306
ILDR2,60.757309
POGK,71.875267
FAM78B,5.795306
UCK2,15.139585
LOC134729444,0.692762
TMCO1,129.274506
LOC129397709,0.069054
ALDH9A1,90.678108
LRRC52,0.0
LOC129397711,2.968946
MGST3,97.862099
RXRG,9.58742
LMX1A,1.057625
LOC130541496,0.0
NUF2,16.890375
RGS5,12.18774
LOC134729448,1.054221
LOC130541499,0.0
RGS4,16.21771
LOC129397738,52.351521
CCDC190,6.115877
LOC117976097,0.009375
LOC117976096,0.028078
HSD17B7,9.990939
PBX1,190.918137
LOC112438299,0.0
DDR2,9.892016
UAP1,47.521286
LOC117976071,0.037025
UHMK1,21.561543
LOC117976076,0.016456
OLFML2B,9.34052
LOC100983469,74.422928
SPATA46,2.970492
FCRLB,0.841383
FCGR2B,0.385602
LOC117976058,1.027338
LOC117976059,0.763172
HSPA6,0.36915
TRNAG-GCC,0.0
LOC100991644,0.637088
ATF6,38.822559
LOC100982251,4.022576
LOC117976066,0.323757
DUSP12,42.753128
NR1I3,0.56459
TOMM40L,17.788557
TRNAE-UUC,0.760248
LOC112438316,0.880288
TRNAV-CAC,3.946494
CFAP126,53.244678
SDHC,67.340164
MPZ,0.830422
PCP4L1,98.417564
FCER1G,0.0
NDUFS2,184.051315
ADAMTS4,3.836453
PPOX,24.302065
B4GALT3,69.653297
USP21,41.898914
LOC130541531,0.0
NECTIN4,0.0
KLHDC9,20.975584
ARHGAP30,0.365454
UFC1,100.978584
LOC112438745,0.0
DEDD,62.905708
NIT1,47.860844
PFDN2,142.051056
ITLN2,0.0
ITLN1,0.0
CD244,0.0
LY9,0.0
SLAMF6,0.0
LOC134728780,0.0
SLAMF7,0.0
CD48,0.0
LOC129397806,0.03508
USF1,46.826614
LOC134730381,10.96588
LOC134730382,45.231373
TSTD1,11.497744
F11R,21.459702
NHLH1,11.607336
VANGL2,141.166214
NCSTN,183.197403
COPA,210.458618
LOC103785019,7.90655
PEX19,112.601418
DCAF8,70.46077
PEA15,887.640991
SLAMF9,0.0
CASQ1,10.429045
ATP1A4,1.651693
ATP1A2,356.820984
IGSF9,10.964644
IGSF8,104.959877
KCNJ9,7.05944
KCNJ10,6.819276
PIGM,9.294783
TAGLN2,137.176254
CFAP45,7.978439
LOC100974844,0.0
VSIG8,0.612326
LOC112438498,0.960313
SLAMF8,0.0
DUSP23,15.930462
CRP,0.740918
FCER1A,0.0
LOC129397826,0.0
LOC100973313,0.0
IFI16,10.932323
PYDC5,0.0
SMIM42,0.031331
CD1D,0.368078
ACKR1,30.60132
CADM3,268.597321
AIM2,14.11111
TRNAR-UCU,0.0
LOC100994853,0.102271
LOC130541556,0.0
LOC100995546,0.965411
FCRL3,0.0
LOC130541067,0.069448
LOC103786529,0.14638
ETV3L,0.091244
LOC100993377,6.039701
KIRREL1,38.636749
LRRC71,0.095423
INSRR,0.0
PEAR1,0.0987
NTRK1,0.284604
ARHGEF11,33.53199
SH2D2A,0.128041
PRCC,111.569687
HDGF,279.034454
MRPL24,36.511322
METTL25B,16.960899
ISG20L2,41.72319
CRABP2,71.250343
BCAN,30.00316
NES,216.244217
TTC24,0.0
HAPLN2,0.552131
NAXE,138.269058
LOC100972613,7.881639
IQGAP3,2.32661
LOC112438727,0.0
LOC129397900,0.011313
MEF2D,26.738827
LOC112438238,1.224747
RHBG,0.045978
LOC100967919,121.446259
TSACC,0.0
CCT3,313.362
SEMA4A,17.476431
GLMP,15.367333
TMEM79,5.602851
SMG5,64.189926
PAQR6,9.508722
BGLAP,0.94366
PMF1,72.992516
SLC25A44,39.223167
TRIM46,21.66633
KRTCAP2,174.018173
DPM3,32.17886
