GeneID,SRR7885667,SRR7885671
AK8,8.119096,2.741041
AK9,4.076245,1.964871
AKAIN1,0.087496,0.048226
AKAP1,19.234715,19.214081
AKAP10,14.224347,17.905888
AKAP11,52.929504,68.223419
AKAP12,75.253914,7.545767
AKAP13,27.190376,12.214037
AKAP14,14.70586,0.670987
AKAP3,4.00898,4.317323
AKAP4,0.436889,0.304155
AKAP5,3.967241,2.766869
AKAP6,28.422544,31.68725
AKAP7,23.522068,8.425737
AKAP8,27.874315,36.630913
AKAP8L,133.281662,160.642212
AKAP9,32.580532,45.62077
AKIP1,23.692064,26.943916
AKIRIN1,152.751022,102.091164
AKIRIN2,116.96669,169.535583
AKNA,13.08126,34.77676
AKNAD1,0.0,0.076113
AKR1A1,138.935425,117.436409
AKR1B1,152.552094,212.921997
AKR1B10,0.472033,0.0
AKR1C3,2.358823,5.012155
AKR1C8,0.0,0.0
AKR1D1,0.0,0.0
AKR1E2,2.03172,1.780496
AKR7A2,68.950043,63.013119
AKT1,167.574341,162.063828
AKT1S1,32.76503,39.07338
AKT2,41.017818,52.574169
AKT3,87.91922,77.552979
AKTIP,59.042271,63.350517
ALAD,22.683889,23.46402
ALAS1,43.150143,51.679455
ALAS2,0.0,0.0
ALB,0.535274,0.0
ALCAM,101.079674,9.646644
ALDH16A1,12.020788,10.936413
ALDH18A1,44.222244,39.217815
ALDH1A1,6.344419,0.0
ALDH1A2,4.033623,0.0611
ALDH1A3,2.597051,0.0
ALDH1B1,35.305771,29.242336
ALDH1L1,0.634622,1.972488
ALDH1L2,4.459549,2.425269
ALDH2,144.512787,151.026917
ALDH3A1,3.9575,3.685633
ALDH3A2,28.193369,50.995613
ALDH3B2,0.0,0.0
ALDH4A1,13.316093,14.371996
ALDH5A1,25.186014,21.668509
ALDH6A1,25.540298,30.628925
ALDH7A1,59.12627,24.634027
ALDH8A1,1.248812,1.771583
ALDH9A1,65.387917,93.17646
ALDOA,657.554565,598.061401
ALDOB,0.47224,0.0
ALDOC,20.80102,26.174019
ALG1,22.429325,22.074183
ALG10,7.738544,6.269636
ALG10B,6.532397,2.772183
ALG11,21.464342,22.860706
ALG12,18.294451,18.482567
ALG13,24.17251,47.564865
ALG14,11.862797,14.138245
ALG1L1P,0.285825,0.132835
ALG1L2,0.789158,0.669557
ALG2,23.461143,18.862795
ALG3,26.894001,20.801018
ALG5,62.902489,50.642323
ALG6,13.707184,12.762237
ALG8,25.09516,22.925526
ALG9,30.552988,31.246614
ALK,3.19067,0.163808
ALKAL1,0.0,0.0
ALKAL2,0.900289,0.744816
ALKBH1,24.644886,26.022413
ALKBH2,27.95026,25.218346
ALKBH3,24.830135,21.209139
ALKBH4,24.162214,26.789492
ALKBH5,34.036766,45.864902
ALKBH6,34.352333,21.939245
ALKBH7,52.549217,58.53196
ALKBH8,6.711678,5.829791
ALLC,0.0,0.0
ALMS1,12.186125,12.675294
ALOX12,0.0,0.0
ALOX12B,0.0,0.0
ALOX15,0.201235,0.110599
ALOX15B,0.0,0.0
ALOX5,0.0,0.0
ALOX5AP,0.196776,0.0
ALOXE3,0.361297,0.258165
ALPI,0.0,0.0
ALPK1,4.393792,0.150436
ALPK2,0.181553,0.0
ALPK3,0.333483,0.170369
ALPL,6.251998,13.288843
ALS2,30.186726,31.906982
ALS2CL,0.272494,0.0
ALX1,0.185446,0.0
ALX3,5.048644,7.785244
ALX4,0.130551,0.050787
ALYREF,111.033798,122.169998
AMACR,7.077805,6.024263
AMBN,8.447035,23.931154
AMBP,0.0,0.112711
AMBRA1,29.955826,32.529438
AMD1,77.69323,89.490997
AMDHD1,1.359802,1.659731
AMDHD2,15.669973,19.849461
AMELX,0.0,0.295421
AMELY,0.0,0.0
AMER1,9.041251,6.467084
AMER2,26.083487,43.904198
AMER3,13.09477,19.576571
AMFR,117.108582,100.684196
AMH,4.920171,6.124588
AMHR2,0.074961,0.0
AMIGO1,12.638942,10.839011
AMIGO2,18.068041,11.987041
AMIGO3,7.974611,9.787292
AMMECR1,3.532337,21.078028
AMMECR1L,25.70216,31.099371
AMN,1.310713,1.169788
AMN1,27.848539,24.564169
AMOT,14.47834,31.568373
AMOTL1,30.954187,37.820499
AMOTL2,62.769848,74.63929
AMPD1,0.0,0.0
AMPD2,46.167698,34.922771
AMPD3,117.428772,101.953781
AMT,4.962608,3.740178
AMTN,0.0,0.0
AMY2A,0.595624,0.54577
AMY2B,4.61025,3.786679
AMZ1,2.916701,2.669388
AMZ2,101.966629,89.134102
ANAPC1,13.057377,16.266113
ANAPC10,19.358137,20.13316
ANAPC11,105.286385,159.208755
ANAPC13,157.312454,159.609695
ANAPC15,85.198616,87.702454
ANAPC16,66.7034,73.882454
ANAPC2,26.597317,34.399384
ANAPC4,23.094173,22.689934
ANAPC5,101.862228,93.286331
ANAPC7,57.634068,60.350399
ANG,4.600305,2.380456
ANGEL1,15.09358,23.07914
ANGEL2,23.56039,35.58646
ANGPT1,6.541731,1.49079
ANGPT2,1.55881,0.082028
ANGPT4,0.141988,0.0
ANGPTL1,7.559925,27.3074
ANGPTL2,13.502408,12.936787
ANGPTL3,0.0,0.082418
ANGPTL4,6.316057,0.77347
ANGPTL5,0.832266,0.0
ANGPTL6,0.917194,0.589408
ANGPTL7,0.133323,0.0
ANGPTL8,0.0,0.0
ANHX,0.0,0.0
ANK1,3.046134,1.944533
ANK2,77.71254,131.557251
ANK3,42.893948,1.299639
ANKAR,1.273148,2.542242
ANKDD1A,10.025649,5.863625
ANKDD1B,0.76356,0.781795
ANKEF1,1.843626,0.63979
ANKFN1,2.111748,2.220078
ANKFY1,53.5056,59.226498
ANKH,18.990702,23.110985
ANKHD1,48.585209,59.216965
ANKIB1,34.946472,40.923031
ANKK1,0.0,0.0
ANKLE1,2.610595,1.99414
ANKLE2,34.428097,40.241661
ANKMY1,10.795129,11.025281
ANKMY2,66.695084,69.221275
ANKRA2,29.998308,33.193077
ANKRD1,1.585423,0.228372
ANKRD10,69.426254,94.929985
ANKRD11,43.349472,34.727352
ANKRD12,24.699776,25.841801
ANKRD13A,25.461397,20.092896
ANKRD13B,48.919884,60.131222
ANKRD13C,34.140625,39.796535
ANKRD13D,37.008904,32.528118
ANKRD16,4.859537,7.222666
ANKRD17,34.519352,39.742298
ANKRD18A,1.317963,2.215112
ANKRD18B,1.525383,2.334847
ANKRD2,0.0,0.0
ANKRD22,0.0,0.0
