GeneID,SRR8750495,SRR8750496,SRR8750497,SRR8750498
GTF2I-AS1,0.311546,0.17493,0.27889,0.11899
GTF2IP1,155.418945,124.381538,192.496063,141.017639
GTF2IP12,0.333305,1.710252,1.241289,2.140797
GTF2IP13,0.432748,0.296952,0.096649,0.071508
GTF2IP20,5.77561,2.990617,5.357456,3.670157
GTF2IP23,0.0,0.676988,0.0,0.90689
GTF2IP4,117.927551,76.889305,150.898087,100.89933
GTF2IP7,0.0,0.0,0.0,0.0
GTF2IP8,0.0,0.240552,0.0,0.0
GTF2IRD1,9.187969,8.375747,14.351478,9.024686
GTF2IRD1P1,0.339472,0.4084,0.404014,0.428673
GTF2IRD2,6.730743,4.931456,10.793363,5.857199
GTF2IRD2B,8.240902,8.383731,9.640862,7.673723
GTF3A,93.749962,133.701584,127.117439,123.595581
GTF3C1,49.692528,36.46336,30.954824,42.751186
GTF3C2,21.12389,15.2044,14.046633,17.534273
GTF3C2-AS1,0.0,0.0,0.0,0.20293
GTF3C2-AS2,2.990052,3.15046,16.72846,2.087608
GTF3C3,13.138819,10.20656,13.139659,10.33186
GTF3C4,11.240489,7.051746,8.433456,9.18018
GTF3C5,51.928001,46.519928,42.126507,47.902725
GTF3C6,82.013138,82.699142,141.324982,65.547722
GTPBP1,30.991684,31.094023,21.53405,29.333603
GTPBP10,9.626206,6.01299,5.602044,6.814735
GTPBP2,24.128485,21.662949,22.549891,18.033453
GTPBP3,16.627016,14.552552,10.258508,13.544765
GTPBP4,20.611544,21.92572,19.521879,22.546249
GTPBP6,53.950161,31.099289,62.667049,44.386467
GTPBP6-2,27.323608,36.200069,28.946388,46.749775
GTPBP8,9.946035,7.198599,10.557292,6.659303
GTSCR1,0.255131,0.0,0.0,0.282422
GTSE1,0.398908,1.047625,0.454501,0.062397
GTSE1-DT,2.061749,1.694843,3.449354,0.543967
GTSF1,0.0,0.163323,0.0,0.388286
GTSF1L,0.0,0.758611,0.0,0.06958
GUCA1A,0.0,0.0,0.0,0.0
GUCA1ANB-GUCA1A,2.05558,1.13676,1.429716,3.484971
GUCA1B,4.346082,6.92339,5.417303,5.636464
GUCA1C,0.0,0.0,0.0,0.0
GUCA2A,0.193237,0.0,0.0,0.0
GUCA2B,0.0,0.0,0.0,0.0
GUCD1,17.248768,17.241085,36.205822,14.490179
GUCY1A1,18.821823,12.169222,19.583284,15.204044
GUCY1A2,12.58599,8.774516,6.710602,9.32386
GUCY1B1,124.811409,90.67775,36.336414,100.989586
GUCY1B2,0.0,0.143478,0.0,0.137462
GUCY2C,0.085831,0.31266,0.0,0.086037
GUCY2C-AS1,1.656106,0.89123,1.616168,0.727084
GUCY2D,1.105593,1.07183,0.493257,1.005495
GUCY2EP,0.216414,0.0,0.107889,0.0
GUCY2F,0.0,0.193752,0.0,0.0
GUCY2GP,0.071115,0.25462,0.0,0.056612
GUF1,20.673704,14.520221,13.664334,14.206167
GUK1,642.400696,1064.637451,880.889282,1258.418579
GULP1,15.339602,11.770976,9.702932,10.08306
GUSB,24.117544,17.286705,25.08791,12.883305
GUSBP1,9.241726,7.581001,8.413783,9.831099
GUSBP10,0.0,0.315173,0.0,0.0
GUSBP11,16.587385,12.626657,12.640095,11.861806
GUSBP14,1.437021,1.246368,0.801108,0.290043
GUSBP15,4.499129,2.463586,3.819915,2.904077
GUSBP16,5.825696,5.973421,10.613442,4.247519
GUSBP17,5.467271,4.92801,1.229023,3.011779
GUSBP19,0.495536,1.208628,0.858255,0.0
GUSBP2,2.015589,0.401739,1.171962,0.781372
GUSBP3,4.001504,4.367361,4.872554,2.592822
